"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.26913546413725,0.521008217798793,6.27463320626498,0.772281057708148,4.23309031279216
"asc_cs",0.810015378384184,0.363028801143071,2.23127028994306,0.549498791708792,1.47409856146409
"asc_rs",0,NA,NA,NA,NA
"b_tt",0.0541959827458814,0.312409319707976,0.173477483951314,0.102491269028923,0.528786337210706
"b_tt_shift",-2.67687443506089,0.942938501210173,-2.83886428608586,1.08188535901044,-2.47426810314665
"b_tt_shift2",-3.2143999974104,1.78021087914878,-1.80562877974737,2.06825488494163,-1.55416047645458
"b_cost",-4.74195605658116,1.49395061752096,-3.17410495431896,2.70258155736701,-1.75460238883633
"b_cost_shift",-6.46629764723898,1.2299224690971,-5.25748395505449,1.4800036075017,-4.36910938220909
"b_cost_shift2",-19.554647242251,7.51033161226482,-2.6036995770356,9.977238997775,-1.9599257115733
"b_trans",-1.75589126422931,0.496534224438054,-3.53629453481583,0.501219121795887,-3.50324077409075
"b_trans_shift",0.559172635473363,0.319132527838143,1.75216434144552,0.414424432419485,1.34927526403019
"b_trans_shift2",-0.614860435981382,0.576933259341402,-1.06573927924224,0.627192087207484,-0.980338318231967
"b_crowd",1.08783578329305,1.32561160877101,0.820629342784343,2.1763249491032,0.499849888566187
"b_crowd_shift",-7.18324744720185,0.657099864966159,-10.9317439101464,1.12797317980118,-6.36827858661318
"b_crowd_shift2",1.13594989435312,1.39375412810934,0.815028900322657,1.88715278090662,0.601938489477989
"b_disin",0.303228541106574,0.318321036165546,0.952587189207556,0.454046650424986,0.667835652620173
"b_disin_shift",-0.0836883242118737,0.198001346004608,-0.422665430819476,0.216933352650418,-0.385778964780649
"b_disin_shift2",-0.0846407090255843,0.493751448675,-0.171423717849782,0.524849704810393,-0.161266564980086
"b_share",-65.9132866999119,377.197782089511,-0.174744629554238,112.077500348728,-0.588104539223512
"b_share_shift",-0.287275202434702,0.924310290082117,-0.310799528596809,1.01793400838976,-0.282213974645698
"b_share_shift2",3.68673155212204,4.04193241505696,0.912121028641715,5.01301303891444,0.73543226867816
"b_pta",-1.04296546619794,0.183013296834679,-5.6988507624125,0.251066810956114,-4.15413515719624
"b_pta_shift",-0.486184682495791,0.12229139909563,-3.97562450091524,0.182890690661292,-2.65833477219564
"b_pta_shift2",-0.0178758442351042,0.23569028947141,-0.0758446360908418,0.396901937461975,-0.0450384403498076
"b_csa",-0.429398296845674,0.141951621124262,-3.02496226140162,0.348778140832087,-1.23115025448914
"b_csa_shift",-0.063879052996792,0.08699390203954,-0.73429345619832,0.101257106199863,-0.630859950418751
"b_csa_shift2",-0.217961280699775,0.217959431333656,-1.00000848490982,0.340710647955728,-0.639725473822282
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"delta_b",1.03951528173266,0.273159545396494,3.80552427784939,0.315515667393542,3.29465503352034
"delta_c",1.37809041834808,0.246449540604617,5.59177515594957,0.265348180827253,5.19351749106297
