"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.6299121776148,NA,NA,NA,NA
"asc_cs",0.873412005435402,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.14441687514746,NA,NA,NA,NA
"b_tt_shift",-3.63150862153202,NA,NA,NA,NA
"b_cost",-4.32055799137169,NA,NA,NA,NA
"b_cost_shift",-22.2955608540332,NA,NA,NA,NA
"b_trans",-0.344591262835148,NA,NA,NA,NA
"b_trans_shift",-0.568141892401085,NA,NA,NA,NA
"b_crowd",-4.87720105948274,NA,NA,NA,NA
"b_crowd_shift",-0.436022139971871,NA,NA,NA,NA
"b_disin",-0.00747741447670175,NA,NA,NA,NA
"b_disin_shift",-0.12085632656803,NA,NA,NA,NA
"b_share",0.111267054174206,NA,NA,NA,NA
"b_share_shift",-58.2180747958397,NA,NA,NA,NA
"b_pta",-0.643382760055246,NA,NA,NA,NA
"b_pta_shift",10.2782676575564,NA,NA,NA,NA
"b_csa",-0.214861810198468,NA,NA,NA,NA
"b_csa_shift",10.2164400929186,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",0.926807234672091,NA,NA,NA,NA
"ce_shift",3.84847385395802,NA,NA,NA,NA
"delta_a",-6.72110012162876,NA,NA,NA,NA
"g_mod_a",0.532502548655044,NA,NA,NA,NA
"g_off_a",-0.97279065375734,NA,NA,NA,NA
"g_hou_a",0.402003084962493,NA,NA,NA,NA
"g_att1_a",0.08834933170846,NA,NA,NA,NA
"g_att2_a",1.28442254797321,NA,NA,NA,NA
"g_csrs_a",2.09615472844642,NA,NA,NA,NA
"g_pcar_a",0.539264586544944,NA,NA,NA,NA
