"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.35098382238713,NA,NA,NA,NA
"asc_cs",0.589716507448378,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",1.19040819349424,NA,NA,NA,NA
"b_tt_shift",-4.95759500282115,NA,NA,NA,NA
"b_tt_shift2",-4.36784234608442,NA,NA,NA,NA
"b_tt_shift3",-1.73067544144813,NA,NA,NA,NA
"b_tt_shift4",-0.64848466141719,NA,NA,NA,NA
"b_cost",1779.88566587463,NA,NA,NA,NA
"b_cost_shift",-1802.24170410385,NA,NA,NA,NA
"b_cost_shift2",-1786.31895697129,NA,NA,NA,NA
"b_cost_shift3",-1793.20727914233,NA,NA,NA,NA
"b_cost_shift4",-1780.7817955366,NA,NA,NA,NA
"b_trans",316.011852714497,NA,NA,NA,NA
"b_trans_shift",-316.825419842793,NA,NA,NA,NA
"b_trans_shift2",-316.059005879722,NA,NA,NA,NA
"b_trans_shift3",-319.124209845297,NA,NA,NA,NA
"b_trans_shift4",-312.674609135311,NA,NA,NA,NA
"b_crowd",-373.413039291154,NA,NA,NA,NA
"b_crowd_shift",375.11839379448,NA,NA,NA,NA
"b_crowd_shift2",365.641281748083,NA,NA,NA,NA
"b_crowd_shift3",376.252816748164,NA,NA,NA,NA
"b_crowd_shift4",370.426246739067,NA,NA,NA,NA
"b_disin",447.498243586625,NA,NA,NA,NA
"b_disin_shift",-447.460586534821,NA,NA,NA,NA
"b_disin_shift2",-447.491746914263,NA,NA,NA,NA
"b_disin_shift3",-447.906322682196,NA,NA,NA,NA
"b_disin_shift4",-447.60415232532,NA,NA,NA,NA
"b_share",-608.32487113654,NA,NA,NA,NA
"b_share_shift",8559.05335071318,NA,NA,NA,NA
"b_share_shift2",608.237706550886,NA,NA,NA,NA
"b_share_shift3",625.399471641012,NA,NA,NA,NA
"b_share_shift4",627.890875824865,NA,NA,NA,NA
"b_pta",-47.8324116234145,NA,NA,NA,NA
"b_pta_shift",47.7419507003993,NA,NA,NA,NA
"b_pta_shift2",47.5875282056138,NA,NA,NA,NA
"b_pta_shift3",46.557982648963,NA,NA,NA,NA
"b_pta_shift4",46.4578240254022,NA,NA,NA,NA
"b_csa",-128.972462230949,NA,NA,NA,NA
"b_csa_shift",128.723749587183,NA,NA,NA,NA
"b_csa_shift2",128.968653279334,NA,NA,NA,NA
"b_csa_shift3",128.863640570411,NA,NA,NA,NA
"b_csa_shift4",128.360986940738,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"b_rsa_shift3",0,NA,NA,NA,NA
"b_rsa_shift4",0,NA,NA,NA,NA
"delta_b",3.21692844612957,NA,NA,NA,NA
"delta_c",2.7580988541392,NA,NA,NA,NA
"delta_d",1.74692701891225,NA,NA,NA,NA
"delta_e",1.51442176523633,NA,NA,NA,NA
