"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.55347375926735,NA,NA,NA,NA
"asc_cs",1.00549706289517,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-1.40727655941189,NA,NA,NA,NA
"b_tt_shift",-2.94485354748777,NA,NA,NA,NA
"b_tt_shift2",0.62139906319914,NA,NA,NA,NA
"b_cost",-3.66044269891897,NA,NA,NA,NA
"b_cost_shift",-6.70089956752393,NA,NA,NA,NA
"b_cost_shift2",-2.50672177534413,NA,NA,NA,NA
"b_trans",-0.304782069713139,NA,NA,NA,NA
"b_trans_shift",-0.519851560149374,NA,NA,NA,NA
"b_trans_shift2",9.32786326272298,NA,NA,NA,NA
"b_crowd",-5.9128858132757,NA,NA,NA,NA
"b_crowd_shift",-1.87479737311396,NA,NA,NA,NA
"b_crowd_shift2",0.209534050726192,NA,NA,NA,NA
"b_disin",-0.0159866407252414,NA,NA,NA,NA
"b_disin_shift",-0.243558267429525,NA,NA,NA,NA
"b_disin_shift2",-0.56773501683951,NA,NA,NA,NA
"b_share",0.431932681803624,NA,NA,NA,NA
"b_share_shift",-0.676542735117923,NA,NA,NA,NA
"b_share_shift2",-0.606516920394572,NA,NA,NA,NA
"b_pta",-0.701084608877229,NA,NA,NA,NA
"b_pta_shift",-0.163976520627036,NA,NA,NA,NA
"b_pta_shift2",27.4598336775016,NA,NA,NA,NA
"b_csa",-0.23878950086387,NA,NA,NA,NA
"b_csa_shift",-0.0631528408661369,NA,NA,NA,NA
"b_csa_shift2",1.97026830820558,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"delta_b",-0.57849213117578,NA,NA,NA,NA
"delta_c",0.0921672435595376,NA,NA,NA,NA
