"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.6298967755932,NA,NA,NA,NA
"asc_cs",0.873408088921097,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.14442001340356,NA,NA,NA,NA
"b_tt_shift",-3.63148721441419,NA,NA,NA,NA
"b_cost",-4.32050957314381,NA,NA,NA,NA
"b_cost_shift",-22.2953782005767,NA,NA,NA,NA
"b_trans",-0.344575210815468,NA,NA,NA,NA
"b_trans_shift",-0.568157735451097,NA,NA,NA,NA
"b_crowd",-4.87720674604305,NA,NA,NA,NA
"b_crowd_shift",-0.436124742811672,NA,NA,NA,NA
"b_disin",-0.00748489351606089,NA,NA,NA,NA
"b_disin_shift",-0.120825248455,NA,NA,NA,NA
"b_share",0.111293729029167,NA,NA,NA,NA
"b_share_shift",-58.3514564786087,NA,NA,NA,NA
"b_pta",-0.643384661007963,NA,NA,NA,NA
"b_pta_shift",10.3013284187932,NA,NA,NA,NA
"b_csa",-0.214862101743962,NA,NA,NA,NA
"b_csa_shift",10.2394844254712,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",0.926822617333,NA,NA,NA,NA
"ce_shift",3.84846153776679,NA,NA,NA,NA
"delta_a",-6.72082343544885,NA,NA,NA,NA
"g_mod_a",0.532463692959172,NA,NA,NA,NA
"g_off_a",-0.972803076939028,NA,NA,NA,NA
"g_hou_a",0.401947712137267,NA,NA,NA,NA
"g_att1_a",0.0883177050388448,NA,NA,NA,NA
"g_att2_a",1.28443535396253,NA,NA,NA,NA
"g_csrs_a",2.09614048628418,NA,NA,NA,NA
"g_pcar_a",0.539240497850223,NA,NA,NA,NA
