"asc_pt","asc_cs","b_tt","b_tt_shift","b_cost","b_cost_shift","b_trans","b_trans_shift","b_crowd","b_crowd_shift","b_disin","b_disin_shift","b_share","b_share_shift","b_pta","b_pta_shift","b_csa","b_csa_shift","cost_income_elast","scale_worst","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-3053.15813556461
0.374342750293675,0.0833712278646882,0.320990260405713,-1.14518255306877,-0.651489787632619,0.0895449013103874,0.142233434812884,0.00825583673626335,-0.308983439817251,-0.951575861487831,0.0579054489015857,0.269936374689474,0,0,0.0495439858376669,-0.0321536059793758,0.0121783330286169,0.0720770157382419,1,1,-2671.68385975073
0.720885620116256,0.162673151690177,0.42276682725358,-2.0989421883614,-1.66979182399104,0.649934516470567,0.23492909030706,0.00691679330051426,-0.773289994680561,-1.60119093885986,0.0864843980683139,0.0446630831707086,-0.0416977469780734,0.159552519157168,0.0798061539250975,-0.0801693516953939,0.0326734696005082,0.0444423899974518,0.66954242087608,0.240112381454735,-2521.40245951786
1.36230341247851,0.113203272358401,-0.199194886661265,-2.55025212882103,-3.73282218840298,1.48599945964763,0.17831687886323,0.132767500969,-1.55481279440789,-1.61002125189571,0.158463450489985,-0.282466265083585,-0.118530422418622,0.142959206032274,0.077176495596958,-0.176542303912267,0.0573879992002367,-0.0411999473126633,0.0341363296635681,0.213461918406901,-2432.82777676903
2.08177597910052,0.228372763800253,-0.779427871286624,-2.34305094799735,-4.84412175547462,2.87370336552818,-0.0505766063266479,0.332622588779742,-1.98655206712918,-1.54807937122355,0.243136769818374,-0.281069675319551,-0.0891367969718748,0.16915713067927,0.0243246004603623,-0.278176705483678,0.0593080522260334,-0.0832969762181583,0.31087145493243,0.174118429369762,-2404.60820910622
2.78876818157637,0.423436056871418,-1.06546487762766,-1.73585729475554,-5.33465778022463,3.3125892723374,-0.341271889757572,0.477315666022271,-2.23654820614954,-1.35876882775277,0.237466946961862,-0.273791829308241,-0.118932062475174,0.202620588281598,-0.0596271039995761,-0.373379785161896,0.00800339499019842,-0.10001900677102,0.306672009980441,0.248059848778843,-2387.04390502819
4.06670173108021,1.47678974940827,-1.10522638433163,-1.25931294544153,-5.71769677733686,3.92261025299271,-0.569882943486044,0.468162631625073,-2.46850360808735,-1.34157600568785,0.172402661370816,-0.230655975480242,-0.190319594216523,0.262207684920924,-0.283976590123646,-0.443004937091708,-0.226517943488057,-0.125576705544453,0.241658074331897,0.282983994677074,-2374.58607075018
4.27171743469914,1.53565332088321,-1.18348050934382,-1.07862182681362,-5.83087621336331,4.21533230559822,-0.571486058394981,0.465155591995133,-2.4983193887846,-1.45752470333612,0.220539112343706,-0.282719236458368,-0.169178242073656,0.22098741985974,-0.324430495543771,-0.445031649907175,-0.23644455663934,-0.118227139438397,0.219965893804245,0.276839145894756,-2374.04843041908
4.26323992403505,1.54511162866419,-1.18856176615834,-1.07912777307175,-5.8352152054324,4.27932035056526,-0.55812336822181,0.456529961569253,-2.47907694596557,-1.47029020151569,0.221343188364298,-0.277025126485604,-0.166201991159535,0.218867284046147,-0.326699913658361,-0.441381222375369,-0.24017011951641,-0.116370346964136,0.215852856790001,0.276749610288647,-2374.02542559113
4.25666194461718,1.54273604519689,-1.1866506872059,-1.0737336896746,-5.83948465917529,4.28156554783576,-0.555686909365793,0.454311887176513,-2.47485748730536,-1.4734066455008,0.220962277969842,-0.277661765354817,-0.166532103573378,0.219538506453321,-0.325809702723358,-0.441553169579976,-0.23909797434851,-0.116919657545483,0.213819929769617,0.277033254182811,-2374.02435914434
4.25612797773286,1.54235742405218,-1.18568523992284,-1.07524672235195,-5.84049148747165,4.28463412652901,-0.556014496167731,0.454892117553018,-2.47469274843241,-1.4744419614265,0.220930111909138,-0.277315858234484,-0.167092336107533,0.219833599335389,-0.325616486716821,-0.441464066470925,-0.238921326408192,-0.116896803011282,0.213511082176958,0.27726724790462,-2374.02429396859
4.25622111849621,1.54240960251647,-1.18606567378681,-1.07459446538569,-5.84176637548522,4.2860319767567,-0.556064114382576,0.45492079024712,-2.47493076090726,-1.474661560321,0.220862865372633,-0.277246522551751,-0.167102684224568,0.219893011712528,-0.325595379275487,-0.441531553020166,-0.238893443150312,-0.116942574020999,0.213326896738808,0.277264324726655,-2374.02428843646
4.25612629069936,1.5422923801755,-1.18604117280666,-1.07455197974173,-5.84192456966998,4.28635492256939,-0.556096979418209,0.454963672796869,-2.47494357546327,-1.47464488819854,0.220881391681444,-0.277268717109471,-0.167120917351338,0.219902646081011,-0.325577538427899,-0.441529695476138,-0.23888220984999,-0.116926815487102,0.21329723165751,0.277307831944643,-2374.02428763497
4.25619271966546,1.54231511845242,-1.18609906353783,-1.0744569944006,-5.84219054557111,4.2867144391664,-0.556120181629253,0.454973464097918,-2.47501770318535,-1.47466420610383,0.220875731278065,-0.277241848222372,-0.167122418229511,0.219909249025718,-0.325580399784566,-0.441540715210419,-0.238879830327788,-0.116932774459758,0.213265486256618,0.277307951982704,-2374.02428740156
4.25619271966546,1.54231511845242,-1.18609906353783,-1.0744569944006,-5.84219054557111,4.2867144391664,-0.556120181629253,0.454973464097918,-2.47501770318535,-1.47466420610383,0.220875731278065,-0.277241848222372,-0.167122418229511,0.219909249025718,-0.325580399784566,-0.441540715210419,-0.238879830327788,-0.116932774459758,0.213265486256618,0.277307951982704,-2374.02428740156
4.25619944531556,1.54231712355254,-1.18610053947413,-1.07444927412083,-5.84219403469051,4.28671200791501,-0.556121692472322,0.454971967059159,-2.47502266473137,-1.47466015809678,0.220874019661447,-0.277241268429792,-0.167119046914882,0.219906400603816,-0.325581809450122,-0.44154101997279,-0.238880759229513,-0.116932063577316,0.213266743099669,0.277308111228465,-2374.02428739961
