"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",0,NA,NA,NA,NA
"asc_cs",-2.43076227783503,0.240904192632999,-10.090161782855,0.452609725970884,-5.37054804251244
"asc_rs",-3.72713468217829,0.297179395472337,-12.5416995221166,0.561714776580171,-6.63527974975097
"b_tt",-1.0341428625889,0.452501278674934,-2.28539213329341,0.604361702162628,-1.71113235482718
"b_tt_shift",-0.943457433430673,0.868428685172491,-1.0863959810854,1.41625982878095,-0.666161260990333
"b_cost",-5.19127387314866,0.746913959518819,-6.95029702817847,1.24774713931638,-4.16051755165142
"b_cost_shift",3.78864198356091,1.2036498799171,3.14762793298484,2.02051815298811,1.87508435791975
"b_trans",-0.493274051063,0.13774407655334,-3.58109084184092,0.294094177399494,-1.67726561411293
"b_trans_shift",0.383241336490767,0.227596712892166,1.68386147418721,0.486830550434492,0.787217104901752
"b_crowd",-2.22394563308606,0.337593749537258,-6.58763865188393,0.454505733600009,-4.89310798231484
"b_crowd_shift",-1.25786672653412,0.496791862604606,-2.53197932820259,0.782438714799994,-1.60762332274887
"b_share",-0.152410154023847,0.125417552820813,-1.21522187760751,0.134029041967847,-1.13714275492926
"b_share_shift",0.205281921510229,0.138643590310223,1.48064487547458,0.148499213143969,1.38237716661306
"b_disin",0.186959250768765,0.138858532217527,1.34640088572941,0.134067486277905,1.39451597071956
"b_disin_shift",-0.227785301334937,0.20656861356839,-1.10271012328561,0.193734203081766,-1.17576193419393
"b_pta",-0.286431393854202,0.0649345482911357,-4.41107856129189,0.135406344237962,-2.11534692459336
"b_pta_shift",-0.381439748512975,0.0726443894023275,-5.25078057164802,0.148082044203682,-2.57586765879811
"b_csa",-0.205719630668603,0.0622424168158036,-3.30513564853044,0.0862418117251184,-2.38538159801537
"b_csa_shift",-0.0950613166643353,0.054079135295027,-1.75781872520208,0.0714227016006007,-1.33096780902972
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"cost_income_elast",0.217706519431563,0.152594734236066,1.4266974579527,0.302330306605343,0.720094924905274
"scale_best",1,NA,NA,NA,NA
"scale_worst",0.311307390434962,0.0527183423810138,5.90510582038098,0.0803560432103559,3.87410054051594
