"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",1.62607970783297,0.227771441860156,7.13908510458185,0.368562293914654,4.41195351418536
"asc_cs",0.133462874093396,0.15757527002832,0.846978552341424,0.184878520449942,0.72189497064659
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.33820574875016,1.57720181781639,-1.48250257027181,1.52454900986004,-1.53370323527009
"b_tt_shift",0.119964172598034,1.67944433988881,0.0714308713594978,1.74310921108227,0.0688219486394373
"b_cost",-22.3463146648694,6.23824396150454,-3.58214824600734,6.7505590648581,-3.31029096259587
"b_cost_shift",18.067870877237,6.17784632380794,2.92462290743746,6.50552811404674,2.77731039824804
"b_trans",0.257600377174976,0.442319067673733,0.582385874816026,0.484559843224836,0.531617262092123
"b_trans_shift",-0.710731395107051,0.44698936207942,-1.59004096160295,0.467614305430131,-1.51990943573313
"b_crowd",1.42429664786486,1.0316497101406,1.38060102558527,1.39997430544726,1.01737342058562
"b_crowd_shift",-6.29285235638726,1.04186332521865,-6.03999795756955,1.34224451849585,-4.68830549849381
"b_disin",-0.397519210908175,0.387625164912923,-1.02552477726123,0.400963262021548,-0.991410556927312
"b_disin_shift",0.39485333243077,0.413541189277531,0.954810168052645,0.42402451468828,0.93120401946818
"b_share",-17.3701265448073,9.88154691681257,-1.75783474905671,10.7905053709623,-1.6097602426992
"b_share_shift",17.8625406189439,9.94262760806705,1.79656136416604,10.9075547317653,1.63763016168272
"delta_a",15.8838855360388,3.55829985063845,4.4638974237061,4.01503493233797,3.95610145458674
"g_off3_a",0.650236545116458,0.582235455696428,1.1167931096513,0.730094964855567,0.890619133697344
"g_off4_a",-0.171007922233157,0.452729091906064,-0.377726824475066,0.482403120193482,-0.354491741605174
"g_hou_a",-0.61030392243974,0.526802060271066,-1.15850709111826,0.491047908357779,-1.24286024245738
"g_inc_a",-0.0747147127698114,0.0606482317704555,-1.23193555011786,0.058550770240433,-1.27606712026166
"g_car_a",-0.835519823477986,0.296033805943864,-2.82237976441252,0.31283927709896,-2.67076382232429
"g_csrs1_a",-0.746953487316683,0.208809637285229,-3.5771983373371,0.244917045171177,-3.04982238698259
"g_csrs2_a",-0.505232100536482,0.199122845001712,-2.53728847903986,0.208433061134137,-2.42395375180591
"g_fam2_a",-0.398037932209253,0.494229126946394,-0.805371254965361,0.639252721381871,-0.622661302636013
"g_fam3_a",-0.3027463584383,0.542871245858578,-0.557676172292919,0.564100755539713,-0.536688446993201
"g_fam5_a",-0.336332650428457,0.552971192247103,-0.60822815933992,0.638991951794681,-0.526348805307842
"g_lic_a",-1.32141674276919,0.773180694974589,-1.70906587730132,0.899000268444885,-1.46987357974321
"g_att1_a",-0.495938412187898,0.449661020399589,-1.10291617393739,0.467176106725571,-1.06156630240344
"g_att2_a",-1.7572008734208,0.501198940006975,-3.50599479200085,0.595165862211247,-2.95245575223719
"g_age_a",-0.0147221035664145,0.0193662245503178,-0.760194818983077,0.0191854498010325,-0.767357748663373
"g_gen_a",-0.0786408671371992,0.399923011692691,-0.196640015297815,0.457785706105241,-0.171785326820843
"g_edu_a",-0.434457893057206,0.26577350300446,-1.63469227799551,0.285062571610508,-1.52407904904058
