"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.456961216192,0.514304101772309,6.72162871009428,0.702328733620735,4.92214122917944
"asc_cs",0.62841561101299,0.340576679155676,1.84515161922095,0.44075869377326,1.42575885601537
"asc_rs",0,NA,NA,NA,NA
"b_tt",-3.43410965036219,2.03529698951886,-1.68727692717416,1.77774901771785,-1.93171792876065
"b_tt_shift",-0.842438293138614,1.28195345704395,-0.657152011650399,2.45315599502414,-0.343409997100622
"b_tt_shift2",-2.51286493513347,1.13496323616053,-2.21404963180504,1.79563555579031,-1.39942925892191
"b_cost",-25.6249968277573,10.0393323395722,-2.55246025940895,9.51096317585401,-2.6942588625317
"b_cost_shift",-4.75848855642938,1.43996213373455,-3.30459283959656,3.35219348606256,-1.41951488665967
"b_cost_shift2",-6.8124331647827,1.44399832114295,-4.71775698422596,2.49575670166723,-2.72960627942291
"b_trans",-1.14560173482054,0.650705398406273,-1.76055360479009,0.706476791716872,-1.62157023167953
"b_trans_shift",-1.24724842228777,0.419246870871531,-2.97497371821761,1.04903751438237,-1.1889454906883
"b_trans_shift2",-0.713372939202377,0.665209121417985,-1.07240402489028,1.91948571156206,-0.371647954921133
"b_crowd",0.8701654802442,1.64572362580673,0.528743384733051,1.90011602059545,0.457953867454636
"b_crowd_shift",-0.0369087134213423,1.23822054939089,-0.0298078669745051,3.19049417397358,-0.0115683375078459
"b_crowd_shift2",-7.94497806216372,1.13638523835074,-6.99144778903889,3.60650730331757,-2.20295632144021
"b_disin",-0.228963068622391,0.559811233946381,-0.409000489340522,0.610888144542406,-0.374803588296674
"b_disin_shift",-0.0738171389002692,0.243728278191224,-0.302866534191629,0.254693546977631,-0.289827283715014
"b_disin_shift2",0.1197076454098,0.230585791750055,0.519145800360318,0.260393197506225,0.459718788955453
"b_share",-17.6332782039262,49.4914813457447,-0.356289157738906,9.69035632323554,-1.81967283923761
"b_share_shift",0.764239297648194,3.65942022734121,0.208841633420019,6.93587530897624,0.110186424006085
"b_share_shift2",0.932249300391756,1.30834978397932,0.712538276695656,2.41929426043867,0.38533935934801
"b_pta",3.1111556839651,7.95144169584949,0.391269382706921,0.704833068518689,4.41403195015191
"b_pta_shift",-0.968939749283877,0.16557823890087,-5.85185442070061,0.377240063968295,-2.56849640807322
"b_pta_shift2",-0.111478606787382,0.228055919709733,-0.488821368589207,0.666382181610715,-0.167289297138658
"b_csa",2.89325896471595,7.95018710078986,0.363923380423148,0.683065034158707,4.23570058490759
"b_csa_shift",-0.175146667487864,0.0881728209065395,-1.98640199652356,0.156409157265512,-1.11979803836258
"b_csa_shift2",-0.134922063145471,0.100183963862869,-1.34674311080515,0.13619110754146,-0.990681885044493
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"delta_b",-0.926571745248402,0.272852305376404,-3.39587288430707,0.667792674216094,-1.38751409086073
"delta_c",-0.446192181048633,0.192407568823333,-2.31899495314721,0.356783228098271,-1.25059741016115
