"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.53034333885908,NA,NA,NA,NA
"asc_cs",1.00949968975732,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-0.496498920568949,NA,NA,NA,NA
"b_tt_shift",0.496516513220724,NA,NA,NA,NA
"b_cost",-0.263239291262306,NA,NA,NA,NA
"b_cost_shift",-25.9503622494548,NA,NA,NA,NA
"b_trans",-0.30012260245293,NA,NA,NA,NA
"b_trans_shift",-0.725545815195728,NA,NA,NA,NA
"b_crowd",-5.33501576203277,NA,NA,NA,NA
"b_crowd_shift",4.20273090230374,NA,NA,NA,NA
"b_disin",-0.0741559851638293,NA,NA,NA,NA
"b_disin_shift",0.0899211398969854,NA,NA,NA,NA
"b_share",-2.53574051548763,NA,NA,NA,NA
"b_share_shift",-295463.531259321,NA,NA,NA,NA
"b_pta",-0.531815718012523,NA,NA,NA,NA
"b_pta_shift",0.300675250717586,NA,NA,NA,NA
"b_csa",-0.183634886249688,NA,NA,NA,NA
"b_csa_shift",0.0206197641840512,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",10.6994989601075,NA,NA,NA,NA
"ce_shift",-12.5347016755551,NA,NA,NA,NA
"delta_a",-0.104520006664668,NA,NA,NA,NA
