"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.61047893404849,NA,NA,NA,NA
"asc_cs",0.872258002315225,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-3.62465383872731,NA,NA,NA,NA
"b_tt_shift",1.47817087624103,NA,NA,NA,NA
"b_cost",-22.4703282551166,NA,NA,NA,NA
"b_cost_shift",18.1671393637187,NA,NA,NA,NA
"b_trans",-0.556211338718319,NA,NA,NA,NA
"b_trans_shift",0.216164766097705,NA,NA,NA,NA
"b_crowd",-0.515471939317502,NA,NA,NA,NA
"b_crowd_shift",-4.36220392762878,NA,NA,NA,NA
"b_disin",-0.117150646709568,NA,NA,NA,NA
"b_disin_shift",0.108174572960166,NA,NA,NA,NA
"b_share",-59.1824568661114,NA,NA,NA,NA
"b_share_shift",59.2910983110795,NA,NA,NA,NA
"b_pta",10.4212401632205,NA,NA,NA,NA
"b_pta_shift",-11.0613725874006,NA,NA,NA,NA
"b_csa",10.3609266740996,NA,NA,NA,NA
"b_csa_shift",-10.5757173861323,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",3.82949572750144,NA,NA,NA,NA
"ce_shift",-2.89543233268815,NA,NA,NA,NA
"delta_a",7.16488317081427,NA,NA,NA,NA
"g_mod_a",-0.370568745394831,NA,NA,NA,NA
"g_off_a",0.853084640093673,NA,NA,NA,NA
"g_hou_a",-0.522013991679015,NA,NA,NA,NA
"g_att1_a",-1.28460027267577,NA,NA,NA,NA
"g_csrs_a",-2.14048875704356,NA,NA,NA,NA
"g_pcar_a",-0.599542543895433,NA,NA,NA,NA
