"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.05005618781678,0.503900745507923,6.05289080241859,0.628287088425663,4.85455812160567
"asc_cs",0.672869823704768,0.335273895711605,2.00692577713702,0.438261601089289,1.53531548744486
"asc_rs",0,NA,NA,NA,NA
"b_tt",-0.118351184499912,1.40314023988638,-0.0843473668102452,2.46466695474397,-0.0480191387611663
"b_tt_shift",-3.11462113364909,2.2434927850848,-1.38829112995403,3.32461978272221,-0.936835288605191
"b_tt_shift2",-2.47871392620876,1.69118752047528,-1.4656647451562,2.38392365164078,-1.03976229461155
"b_cost",-5.67461938038684,1.9939925977679,-2.84585779643269,8.26220156593926,-0.686816865347407
"b_cost_shift",-13.8582631735384,7.99546954209589,-1.73326445689963,14.5878864382091,-0.949984305967744
"b_cost_shift2",-0.245636935442428,2.92982771352245,-0.0838400614168215,12.4580556213916,-0.0197171166117325
"b_trans",-1.73301486435407,0.563121908274731,-3.07751277101544,1.27388719214111,-1.36041470158851
"b_trans_shift",1.09818148216663,0.805876759077525,1.3627164076846,1.30639392991662,0.840620472139458
"b_trans_shift2",2.20968685594672,0.701342521803724,3.15065290817362,1.16190864007508,1.90177332342062
"b_crowd",1.74311179796029,1.66879243610277,1.0445348146658,4.30189596003886,0.405196177255888
"b_crowd_shift",-0.745357300169547,2.24050782564147,-0.332673375044404,5.72638585005406,-0.130161906599869
"b_crowd_shift2",-9.23069779752318,1.70951822496424,-5.3995901668239,5.19545866684577,-1.77668583072902
"b_disin",0.0962374056729766,0.354514346375512,0.271462654916197,1.27896770691034,0.0752461576261854
"b_disin_shift",-0.22186283125426,0.583380448570411,-0.380305565258384,1.1332344317187,-0.195778406518919
"b_disin_shift2",-0.112908960072156,0.473656440273122,-0.238377335283459,1.84228489294299,-0.0612874591246238
"b_share",24.5959635416013,300.5825659888,0.0818276451286858,544.863459081534,0.045141517808998
"b_share_shift",-21.1844530257158,300.871583613748,-0.0704102819258327,547.097179694304,-0.0387215540711666
"b_share_shift2",-24.7048393441252,300.619230805524,-0.0821798368584983,544.811561935323,-0.0453456590685535
"b_pta",-1.04557732988222,0.198656166730279,-5.26325131050089,0.472780785510448,-2.21154785034959
"b_pta_shift",1.09118789287328,0.285585354102779,3.82088183864138,0.749030310948848,1.45680071543566
"b_pta_shift2",0.658934939319391,0.247906095831722,2.65800216452392,1.00599137361189,0.655010526535199
"b_csa",-0.26368524310757,0.138568923399629,-1.90291759969232,0.624728448308265,-0.422079775335375
"b_csa_shift",0.0861695784643871,0.233140400035989,0.369603802906254,0.603069199996223,0.142885059401022
"b_csa_shift2",0.180348951252158,0.181291253439423,0.994802274409895,0.936139536025975,0.192651783534067
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"delta_b",1.28847289961224,0.266593306505176,4.83310296309792,0.465265478044887,2.76932839510592
"delta_c",0.897270287635363,0.322029058813945,2.78630223912112,0.733488743389175,1.22329114894036
