"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",1.62607910588657,0.227771374162528,7.13908458367674,0.368562125733472,4.41195389420583
"asc_cs",0.133461517302081,0.157575229326115,0.846970160683513,0.184878392375194,0.721888131909067
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.33819747590434,1.57720269683061,-1.48249649877149,1.52455178086875,-1.53369502121597
"b_tt_shift",0.119954498276444,1.67944516118716,0.0714250760004875,1.743111826611,0.06881629534329
"b_cost",-22.3463861655827,6.23823496574754,-3.58216487328237,6.75051982571323,-3.31032079640202
"b_cost_shift",18.0679440572164,6.17783823666784,2.92463858149866,6.50549338569083,2.77733647335002
"b_trans",0.257595179723509,0.44231829116873,0.582375146736234,0.484557957774905,0.531608604482298
"b_trans_shift",-0.710726685671816,0.446988642546707,-1.59003298522859,0.467612563808121,-1.51990502539931
"b_crowd",1.42427392196834,1.03164330729934,1.38058756538327,1.39995448792764,1.01737158904123
"b_crowd_shift",-6.29283014856148,1.04185831456138,-6.04000569041936,1.3422293087508,-4.68834207950516
"b_disin",-0.397522435331168,0.387624857597581,-1.02553390872539,0.400962782301667,-0.991419784772169
"b_disin_shift",0.394856223099382,0.413540861406733,0.954817915105675,0.424023889687928,0.931212209269594
"b_share",-17.3702380031107,9.88158453117133,-1.75783933723549,10.7905730923453,-1.60976046911104
"b_share_shift",17.8626158022449,9.94266624692438,1.79656194411337,10.9076252204574,1.63762647150209
"delta_a",15.883887257301,3.55829380283233,4.46390549444169,4.01500932359371,3.95612711630863
"g_off3_a",0.650236843110677,0.582234431351146,1.11679558627566,0.730091747253729,0.890623466922576
"g_off4_a",-0.171005418759365,0.452728622616658,-0.377721686274212,0.482402085740798,-0.354487312169809
"g_hou_a",-0.610312366030275,0.526801588463675,-1.15852415671362,0.491046616891265,-1.24288070630455
"g_incn_a",-0.0747139957942596,0.0606481758280154,-1.23192486458507,0.0585506414228832,-1.27605768235118
"g_car_a",-0.835519409709,0.29603356960808,-2.82238061992479,0.312838786622906,-2.67076668698415
"g_csrs1_a",-0.74695434535909,0.208809524138909,-3.57720438490242,0.244916460572952,-3.04983317010087
"g_csrs2_a",-0.505231708710935,0.199122607083543,-2.53728954291445,0.208432404282066,-2.42395951076407
"g_fam2_a",-0.39803970370599,0.494228355854677,-0.805376095868991,0.639249338179568,-0.622667369260817
"g_fam3_a",-0.30274275964137,0.542870787369075,-0.557670014090384,0.564098797574016,-0.536683930090539
"g_fam5_a",-0.336337094265086,0.552970519924399,-0.608236935146324,0.638989513459164,-0.526357768290011
"g_lic_a",-1.32141196967025,0.773177685516501,-1.70906635618631,0.898990500846802,-1.4698842406294
"g_att1_a",-0.495940229209394,0.449660903463638,-1.10292050162529,0.467175957146334,-1.06157053166597
"g_att2_a",-1.75719374104632,0.50119842829563,-3.50598414089569,0.595164062957068,-2.95245269399453
"g_age_a",-0.0147221492774801,0.0193662119885794,-0.760197672428764,0.0191854169000101,-0.76736144719755
"g_gen_a",-0.0786467002296664,0.39992256344181,-0.19665482125544,0.457783826777344,-0.171798774070536
"g_edu_a",-0.434458588201195,0.265773257565741,-1.63469640316889,0.285061888491943,-1.52408513989577
