"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.41782225300764,0.398354367510471,8.57985384813886,0.54982974534867,6.2161465106626
"asc_cs",0.825050700225724,0.328161009806022,2.51416431438158,0.421043800816625,1.95953651051391
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.29768242579815,0.676797712236548,-3.39493231767174,0.900756206024378,-2.55083718594548
"b_tt_shift",-0.496460776606128,1.52174333018752,-0.326244752815806,1.60847478030741,-0.308653130707617
"b_cost",-4.43857214285534,0.822024329304561,-5.39956298691355,1.2846214590054,-3.45515958163415
"b_cost_shift",-10.8025938546352,5.24797455689249,-2.05843106469475,6.6858993903079,-1.6157278511093
"b_trans",-0.294683106454726,0.208042385221588,-1.41645706542374,0.362339614671435,-0.813278743263943
"b_trans_shift",0.0923999899934411,0.548346779816828,0.168506487854833,0.70036448162677,0.131931290659999
"b_crowd",-4.79787309966955,0.427925165982455,-11.2119442394895,0.648860978595764,-7.39430056350883
"b_crowd_shift",4.42236697702229,1.08616004620299,4.07156108575531,1.10845857487563,3.98965471264318
"b_disin",-0.00983213698617737,0.154880880705981,-0.063481928443074,0.150956236720857,-0.0651323668352876
"b_disin_shift",-0.022568444412549,0.448426858131815,-0.0503280390174913,0.432088916485669,-0.0522310190136468
"b_share",0.100018196676252,0.7650338187199,0.130736961202066,0.787359213578419,0.127029943831718
"b_share_shift",-86.9766079401646,36573.0874090733,-0.00237815875283712,3055.81269453668,-0.0284626764250523
"b_pta",-0.593383551611206,0.0862766988586615,-6.8776802944592,0.116948525587052,-5.07388655506832
"b_pta_shift",12.4660105341104,4865.74622454817,0.00256199356867773,400.652731103498,0.0311142532331575
"b_csa",-0.197563581418338,0.0759112443953007,-2.60256017395189,0.102457447439473,-1.92825008191863
"b_csa_shift",11.9809784525627,4865.74890240005,0.00246230923397076,400.71698898843,0.0298988532600216
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",0.660054037948011,0.170064047365684,3.88120856919697,0.261403325352336,2.5250407088676
"ce_shift",0.7903214914426,0.621542786930283,1.27154800612504,0.663795357087787,1.190610152668
"delta_a",-6.72851345951599,1.62587433772492,-4.1383969864062,1.44589962768653,-4.65351351551405
"g_mod_a",0.457028588459017,0.426205763603815,1.07231911787062,0.47533766220533,0.961481962819087
"g_off_a",-0.850726844256666,0.443236968233514,-1.91934993068645,0.452466044084111,-1.88020041587589
"g_hou_a",0.446347381415129,0.43399738935272,1.02845637408287,0.404929201544677,1.10228499133294
"g_att1_a",0.134408373785857,0.384620484089753,0.349457138519155,0.402481478075085,0.333949215324594
"g_att2_a",1.31401667753545,0.38639476447046,3.40071035728514,0.410814338905601,3.19856575852721
"g_csrs_a",1.98181369278167,0.408195701372152,4.85505772383148,0.4261529420823,4.65047520990466
"g_pcar_a",0.534054293583117,0.247985716345887,2.15356876780042,0.227810932040348,2.34428738252355
